v-sweep,i(Vout),v(V1),v(V2)
0.745,-0.000000739578919,0.745,0.9
0.7451,-0.000000739512746,0.7451,0.9
0.7452,-0.000000739446318,0.7452,0.9
0.7453,-0.000000739379756,0.7453,0.9
0.7454,-0.00000073931308,0.7454,0.9
0.7455,-0.000000739246186,0.7455,0.9
0.7456,-0.00000073917915,0.7456,0.9
0.7457,-0.000000739111906,0.7457,0.9
0.7458,-0.000000739044481,0.7458,0.9
0.7459,-0.000000738976924,0.7459,0.9
0.746,-0.000000738909215,0.746,0.9
0.7461,-0.000000738841264,0.7461,0.9
0.7462,-0.000000738773085,0.7462,0.9
0.7463,-0.000000738704738,0.7463,0.9
0.7464,-0.000000738636304,0.7464,0.9
0.7465,-0.000000738567655,0.7465,0.9
0.7466,-0.000000738498823,0.7466,0.9
0.7467,-0.000000738429787,0.7467,0.9
0.7468,-0.000000738360663,0.7468,0.9
0.7469,-0.00000073829138,0.7469,0.9
0.747,-0.0000007382218,0.747,0.9
0.7471,-0.000000738152115,0.7471,0.9
0.7472,-0.000000738082242,0.7472,0.9
0.7473,-0.000000738012181,0.7473,0.9
0.7474,-0.000000737941853,0.7474,0.9
0.7475,-0.000000737871398,0.7475,0.9
0.7476,-0.000000737800788,0.7476,0.9
0.7477,-0.000000737730026,0.7477,0.9
0.7478,-0.000000737658961,0.7478,0.9
0.7479,-0.000000737587893,0.7479,0.9
0.748,-0.000000737516554,0.748,0.9
0.7481,-0.000000737445013,0.7481,0.9
0.7482,-0.000000737373211,0.7482,0.9
0.7483,-0.000000737301386,0.7483,0.9
0.7484,-0.000000737229268,0.7484,0.9
0.7485,-0.000000737156952,0.7485,0.9
0.7486,-0.000000737084589,0.7486,0.9
0.7487,-0.00000073701186,0.7487,0.9
0.7488,-0.000000736939118,0.7488,0.9
0.7489,-0.000000736866063,0.7489,0.9
0.749,-0.000000736792831,0.749,0.9
0.7491,-0.000000736719521,0.7491,0.9
0.7492,-0.000000736645855,0.7492,0.9
